,ytID,transcript,confidence
0,--rJwJuXuOI, yeah Peter Fairly OddParents Danny Phantom TUFF Puppy yes awesome I'm here cuz I kind of need your help you need me to make you into a cartoon right see me to make them into a cartoon 37 really wow have a really good reason  that's not a good reason why okay but only got a minute there's only so much I can do on short notice okay okay shoot well I'm actually cartoon it I have my skin is a lot smoother like this,0.9313198924064636
1,-4XvTqhMbjo, season 2  if you have been watching since,0.9208284020423888
2,-4YF2u-wx7A, what does feminism mean to you I think there's a lot of different definitions of their floating around especially in the last few years but to me I subscribe to the basic principle that it means equality between the Sexes socially economically all of those things I always hate when people bring up the why you trying to make women better than men it's not anything to do that for me it's just about giving people an equal platform an access to everything you could,0.9464977979660034
3,-4bGPF-8Syo, walking Hills like her she came in looking like Naomi Campbell walk Naomi Campbell walk my ankles woodsnap  all come on in her eyebrows are the literal definition of fleek  oh that sucks I'm in an elevator with two Malibu Barbie  I guess no doubt  I mean he was cute but those donuts.  BTW this outfit is everything in your lashes I mean  yo what's up my love,0.8549049496650696
4,-5I4FCUo7AA, you don't look like a superhero that it's already down your ceiling days of farm animals are over  are you done almost turn yourself in going to stop me you're going to be time for a change  superhero not on my watch to pair to device  Alpha code  hey what happened to you Turtle team up,0.902851402759552
5,-5NEhNHweR8, sneaking into her room at night  I'll be right up okay  yes totally getting laid tonight I thought you were drunk and I hope you're ready for some sexual encounters,0.7664669156074524
6,-FYlxh5TP6o," you got me, right  where do I look it's time to face the music I have moved on and you are still hung up on me classic see you later Breanne come on Brianna  the young and look like Brianna  hey bran  thank you guys so so much for watching I hope you guys found that as enjoyable as we did so it's over here if you guys want to see the sketch that we filled with Studio C on their Channel and where they're subscribe and check out all of their other videos because they're amazing guy is so nice love you guys too  and I look like an R",0.8141036629676819
7,-GsVhbmecJA, centers and can assist with communication even brain area that control movement are connected to language fmri studies found that when we hear action words like run or dance parts of the brain responsible for movement light up as if the body was actually running or dancing I were other hemisphere contributes to language to enhancing the Rhythm and intonation of our Speech & Language areas sometimes assist people with Aphasia when communication is difficult so how common is aphasia approximately 1 billion people in the u.s. allow have it with an estimated 80000 you cases per year about one-third of stroke survivors suffer from Aphasia making it more prevalent than Parkinson's disease or multiple sclerosis yet less Wiley know there is one rare form of aphasia called primary Progressive Aphasia or PPA which is not caused by stroke or brain injury but is actually a foot,0.9719568490982056
8,-NJm4TJ2it0, more common type is the ischemic stroke when a clot blocks a vessel and brings blood flow to a halt where do these clots come from on rare occasions a sudden change in heart rhythm prevents The upper chambers of the heart from Contracting normally this slows down blood flow allowing platelets clotting factors and fibrin to stick together the clot can be carried up towards the arteries and blood vessels supplying the brain until it gets to 1 it can't squeeze through this is called an embolism and it cuts off the oxygen supply to all the cells Downstream the brain doesn't have pain receptors so you can't feel the blockage itself but oxygen deprivation slows brain function and can have sudden noticeable effects for example if the affected area is responsible for speech and individuals words maybe slurt if the stroke affects a part of the brain that,0.9674997925758362
9,-NwHNHNXsg0, soon five-piece word enough started getting into marathons  metal metal  so much weight  everyday more and more these hoodlums are running the streets are they running from really trying to hide we got to get back to Traditional Values walking sitting down should have seen the warning signs he was running in place a lot use gel inserts mean I don't even know where you find that kind of thing so it's charged with distance running Runner's High freaky astronomy you keep quiet Express parents and teachers are powerless to stop it  we took away her running shoes hoping she would stop and then we hear about this thing called barefoot running  I was listen to,0.7403544187545776
10,-Ogm1im0kJo, I always felt like I had a really great hair I always felt like I had a really long weird neck and a big no so I needed this hair too kind of elongate everything I always felt like I was fat so I needed the terror to cover up my arms and parts of my body and to make me look longer and I was afraid if I cut my hair too short then it would expose too much of my body and I would be fatter this is all so much sadder when I say it out loud nonetheless it's all true I touch my hair as a nervous habit non-stop incessantly playing with my hair I can't go to sleep this is not a joke I go to sleep most nights like this it's bizarre that hairstyle has been me and a part of my identity for so long and honestly it's dead it is really dead it is damaged because it has been on my head for so long for curling and straightening and brushing and putting it up for the gym it's just dead I'm just ready for it to go I'm ready for,0.9622913599014282
11,-QYIm5WV04I, once the rash receives one woman had such an itchy scalp after healing from shingles she scratched straight through to her brain  what  so what can the rest of us do to avoid scratching an itch and she elements have been documented throughout history in humans have found some pretty clever ways to find relief the Greeks and Romans had mineral baths in animal fat the Persians use silver Menthol soothe itchy skin in ancient China and camper chemical from evergreen trees historically used to make explosives has been soothing itchy skin such a 13th century today we also have an Esthetics which numbness skin of all feeling counterirritants like capsaicin extract from Chili Peppers and antihistamines and steroid creams just to name a few but since this can be caused by so many things there isn't a one-size-fits-all remedy luckily with so many treatments to choose from at least you don't have to start from scratch,0.9733588099479676
12,-SJ5aaB6o7I, any YouTuber is really hard we have to work so hard I think of really good quality content and it's just getting harder and harder in 2017 on two different flavors on his jelly beans on it or something no freaking think you are you kidding me I can't talk too much of a difference if you showed me more things I be like on which ones we know which ones not there's just one small are this pizza has nothing on it this pizza has lots of Jelly Bean toppings as a piece of shot so I will taste the gummy worm first taste like gummy you guys are not going to believe that it tastes like pizza that's so crazy but the gummy Pizza taste like gummy the pizza taste like pizza videos the gummy versus real food,0.9432039856910706
13,-T2UJBpiOcg, when did the DC line up some much-needed girl power in the process  number 8 Aquaman although his superhero has been locked for years for his campy powers and origin story  he has recently become recognized as a strong character with solid stories and a deep mythological backstory as the Sun at Atlantis Aquaman first appeared way back in 1941 more fun Comics number 73 his deal is that he's the king of the sea with powers that allow him to communicate with every aquatic creature and he frequently finds himself fighting those who would glued or harm his habitat all I want all I've ever wanted is peace and security for Atlantis number 7 Green Arrow the Green Arrow AKA Oliver Queen took a page from the book of Bruce Wayne he's a multi-millionaire and the owner of a corporation,0.9655322432518004
14,-VKSq7ZKhXU, I said  look how nice eyes I look at it so I can I stream  baby light show  oh my gosh. I might beat you up if you want to miss Caroline look at guys  oh my gosh look at guys  and he's horny called where did it come from where did it come from intoxica oh my God she's in school but then a bit weird at the same time because I want to be  Christian  oh my gosh oh my gosh,0.96156108379364
15,-_MbGmXPcbg, Okay Marshall Thanksgiving my good scrub  hey let's throw our losses in the water and let's give our pups one last clean you may need a little bit more soap and this one's purple  Chase is working clean now it's rock Eastern  and we also have Marshall  I sent the cops are looking really clean  we will go to the water,0.6019953489303589
16,-mGeRC6k5Fc, should I get your jacket that you took mine is not dead or something like that it's because of romantic movies they set the bar too high for the rest of us what does the same thing every year I thought about it actually idea that we should do that is a trailer and also the mean guy is me which is well because you know somebody with eyes like this let's just be honest Hollywood whenever cast somebody with my type of rays you know with my kind of jeans because I mean if there was like a Running Scene or something you know I would never be able to get these things these jeans are way too,0.9508192539215088
17,-nGPPRKM_jc, together to form heavier clusters but same as the change in mass from start to finish releases and catastrophic amount of energy after all powers our sun  fission or Fusion all this Atomic pinball happens faster than you can think after these first few nanoseconds the larger effects of a nuclear explosion begin to radiate out in waves assuming you were introduced to your most basic elements of detonation next to experience the thermal wave anything within several kilometers is instantly incinerated in the 6000 degree heat blast which even farther out than multiple bodies third-degree burns like being engulfed in flames the fraction of a bombs energy is released is gamma and x-rays which slamming to air molecules dejecting a light speed of electromagnetic pulse they can disable anything with circuits but only some of the energy from a nuclear explosion is released as Lightning heat most of the damage comes from the blast itself from debris or the shock waves that radiate outward compressing the atmosphere,0.9544944763183594
18,-ssEZ544-R0, are you and me  was Poppin y'all so I'm starting out looking treacherous so I might need to consider my face and I'm using this LA Pro concealer and I feel like this is considered a drug store because it's cheap as hell and you actually can find it in some drug stores if your drug stores helicopter games like mine and next I'm going in with my Fit Me Foundation because I want some little bit more coverage because I just want to be a bad bitch today and have the face hella hella quit and beat to the Gods  hi so ask for all like a product info B shirt,0.8122591972351074
19,-tPUivvGI1U, drink it down so that it only plays in this little area right here I've been making videos Non-Stop full review once I've had this for at least 2 weeks to stay tuned for the week with iPhone 10 video Linkin Park facing portrait mode and I absolutely love portrait mode on the iPhone I've been using it ever since it was first released in the beta it's able to sense death and when you're able to get some incredible portrait mode photos with portrait mode off and also just like the rear camera portrait mode you can also go through and use some of the portrait lighting so that's taking this photo for example this is a picture that my sister took so if we go into edit you'll see here you have all of the same features that you have from the back,0.9696043729782104
20,-vzKfD_FaE0, well I design my own dress thank you very much you see how that things are flowing that's cuz I added some fans that are working inside my dress so I actually have this dream this is really weird just imagine a crazy down that's moving as I move it looks like it's going to make me feel like I have like steam come out as I walk and I'll be like I make myself unlike show them the inside like control panel and be like you see that that's all me I would like to know what everybody's dress idea would be for your Nobel Prize when they walk down the red carpet Johnson what do you think you yours would be like to go camping maybe have like some outrageous dress like something around me and I don't know if I'm doing something with like space or something I don't know I could have like the planets or some broccoli or some cool like rotating thing going to be cold at the bottom like hit it under the dress you had,0.9507473707199096
21,-yzi4b2ZC_8, crimes that were much worse than others that not everybody deserves to be killed and burned and he said no I don't care what they did every single one of them deserve to be killed and burned anyway as with any socially unaware individual the conversation Charlie shipped to another load and topic my driver is now in painful detail that I don't feel comfortable sharing here and for me that's saying a lot he is now telling me about his horrendous horrifying abusive childhood and I will leave it at that now that is horrible that is heartbreaking should talk about that however to a therapist not clientele that he met about 7 minutes ago for just a moment and remind you this was a stranger who is hired simply to pick me up and drop me off at my destination anyway as of any socially unaware individual the conversation jarringly shifted to another load of topic cuz career as a driver seems harmless enough as it made this guy haven't had the best track record with driving told me how difficult it was for him to find a job so it's really,0.9786769151687622
22,007bDKkry-o, one another first meeting his teammates in the Justice League the to quickly sparked up of pirate romance that is becoming injuring part of each of their characters it's almost becoming running gag how often the to of proposed only to break it off for one reason or another maybe it's his top notch facial hair or heard take no prisoners attitude but these two just can't stay apart from each other for a long number to Batman and Catwoman when it comes to superhero romances it doesn't get more tempestuous than this two characters on opposite sides of the law want to breed a good Delonte and the other a devil-may-care cat burglar they really should be mortal enemies and heck sometimes they have be given enough time The Dark Knight and is feline opposite number will always give in to their romantic urges with flirtations and mid-battle usually given way to unbridled passion the Caped Crusader has had many love interest but at the end of the day there's only ever been one to get her closet to him this deeply number one Superman and Lois Lane if you look past the occasionally questionable stuff at the legendary hero used to pull in his lady friend back,0.974879801273346
